,date,name,city,country,description,sources,hynek_scale,latitude,longitude
0,1909-01-01 to 1909-12-31,Mystery airships,Otago,New Zealand,"Strange moving lights and some solid bodies in the sky were seen around Otago and elsewhere in New Zealand, and were reported to newspapers.","""Papers Past — Evening Post — 4 August 1921 — A MYSTERY OF 1909"". Paper",1,-45.1299858,169.5248818
1,1917-08-13,Miracle of the Sun,"Fátima ,  Santarém District",Portugal,"Thousands of people observed the sun gyrate and descend. This was later reinterpreted by  Jacques Vallée , Joaquim Fernandes and Fina d'Armada as a possible UFO sighting, but not recognized as such due to cultural differences.","Joaquim Fernandes and Fina d'Armada, Heavenly Lights 2005
Joaquim Fernandes a",1,39.6255372,-8.6659421
2,1940-01-01 to 1950-01-01,Foo fighters,,Over  World War II  theaters,Small metallic spheres and colorful balls of light repeatedly spotted and occasionally photographed worldwide by bomber crews during World War II.,"""Foo-Fighter"". time.com. TIME. 1945-01-15. Retrieved 2008-07-03. 
Henry Stev",2,0.0,0.0
3,1941-01-01 to 1941-12-31,Cape Girardeau UFO crash,"Cape Girardeau ,  Missouri",United States,First responders and a Baptist minister allegedly view crashed spacecraft and alien bodies. Military arrives and swears witnesses to silence.,"Ryan S. Wood. ""The First Roswell: Evidence For A Crash Retrieval In Cape Gira",3,37.3058839,-89.5181475
4,1942-01-01 to 1942-12-31,Hopeh Incident,"Tsientsien,  Hebei",Republic of China,Photographs show what is reported to be a UFO.,140 Years of UFO sightings Telegraph:,2,0.0,0.0
5,1942-02-24,Battle of Los Angeles,"Los Angeles, California",United States,Unidentified aerial objects trigger the firing of thousands of anti-aircraft rounds and raise the wartime alert status.,L.A. ‘Battle’ Launched a Golden Age of UFOs Los Angeles Times:,2,34.054935,-118.2444759
6,1946-01-01 to 1946-12-31,The Ghost Rockets,,"Mostly in  Scandinavia , but also other European countries","Numerous UFO sightings were reported over Scandinavia, causing the Swedish Defense Staff to express concern.",Science in the Early Twentieth Century - Jacob Darwin Hamblin - 2005,2,0.0,0.0
7,1946-05-18,UFO-Memorial Ängelholm,"Ängelholm ,  Kristianstads County",Sweden,Gösta Karlsson reports seeing a flying saucer and its alien passengers. A model of it is now erected at the site.,The Rough Guide to Sweden: James Proctor & Neil Roland,3,0.0,0.0
8,1947-06-21,Maury Island incident,"Puget Sound  near  Maury Island ,  Washington",United States,Harold A. Dahl reported that his dog was killed and his son was injured by debris in an encounter with four to six flying doughnut-shaped objects. He also claimed that a witness was subsequently threatened by the  Men in Black .,Is strange rock from UFO or just a piece of poppycock? Seattle p.i.com,2,0.0,0.0
9,1947-06-24,Kenneth Arnold UFO sighting,"North of  Mount Rainier ,  Washington",United States,"The UFO sighting that sparked the name  flying saucers . This sighting is considered as the start of the ""Modern UFO era"".",a b Saucers in the sky BBC News Magazine:,0,0.0,0.0
10,1947-06-01 to 1947-07-31,1947 UFO sightings,mostly  Washington,United States,Several UFO sightings reported after the sighting of  Kenneth Arnold .,a b Saucers in the sky BBC News Magazine:,,0.0,0.0
11,1947-06-01 to 1947-06-30,Roswell UFO crash,"about 30 mi north of  Roswell, New Mexico",United States,United States Army Air Forces  allegedly captured a crashed  flying saucer  and its alien occupants. The find was soon explained to be a weather balloon but regained attention since 1978 after investigation of  S. T. Friedman .,"Report on Roswell ‘UFO crash’ due soon CNN
Edgar Mitchell#Views on UFOs",3,0.0,0.0
12,1947-07-23,Bauru Close Encounter,"Bauru ,  São Paulo",Brazil,"José Higgins, a  topographer , reports a close encounter with three humanoid figures emerged from a UFO.",O Fantastico Caso Higgins,3,-22.3218101,-49.0705862
13,1948-01-01 to 1948-12-31,The Green Fireballs,,United States,Objects were reported over several United States military bases; an official investigation followed.,"Mysterious Green Fireballs, UFOs, And The ""Roswell Incident"" Committee for Sk",2,29.825009,-95.4786749
14,1948-01-07,Thomas Mantell,Kentucky,United States,"US Air Force sent a fighter pilot to investigate a UFO sighting over  Fort Knox, Kentucky ; his aircraft crashed and the pilot was killed while pursuing the UFO.","Captain Thomas Francis Mantell Jr. Archived July 21, 2011, at the Wayback Mac",2,37.5726028,-85.155141
15,1948-07-24,Chiles-Whitted UFO encounter,Alabama,United States,"Chiles and Whitted, American commercial pilots, reported that their airplane had nearly collided with a UFO",,1,33.2588817,-86.8295336
16,1948-10-01,Gorman dogfight,North Dakota,United States,"A US Air Force pilot sighted and pursued a UFO for 27 minutes over  Fargo, North Dakota .","Clark, Jerome (2003). Strange Skies: Pilot Encounters with UFOs. Citadel Pres",1,47.6201461,-100.5407369
17,1948-10-15,Fukuoka Incident,Kyushu Island,Japan,"The radar of a  F-61 Black Widow  detected a target below the aircraft. While the aircrew tried to intercept it, the pilot saw the object, which appeared as a stubby cigar; then the object accelerated and disappeared.","""NARCAP UFO Report"". Retrieved 2014-10-08. ",2,32.7554233,131.1105512
18,1949-01-01 to 1949-12-31,"Aztec, New Mexico, UFO incident",New Mexico,United States,An alleged retrieval of a grounded UFO and its occupants from a plateau in New Mexico,,3,34.5708167,-105.9930069
19,1950-04-09,Fort Worth sighting,"Fort Worth, Texas",United States,A UFO was sighted and photographed at 5.30 p.m. The examination of the photos made by experts of USAF revealed that the alleged UFO images were crimps in the negatives.,"UFO. A History, 1950:April-July",2,32.753177,-97.3327458
20,1950-04-24,Varese  Close Encounter,"Abbiate Guazzone,  Lombardy",Italy,"A factory worker reported that he sighted three ""humanoids"" near a craft and one ""shot him with a beam"".",[ unreliable source? ] [51],3,45.7037066,8.9204869
21,1950-05-11,McMinnville UFO photographs,"a farm near  McMinnville, Oregon",United States,"A farmer took pictures of a purported ""flying saucer"". These are among the best known UFO pictures, and continue to be analyzed and debated to this day.",The Trent Farm Photos Dr. Bruce Maccabee Research Website,2,0.0,0.0
22,1950-08-05 to 1950-08-15,Mariana UFO incident,"Great Falls, Montana",United States,The manager of Great Falls' pro baseball team took color film of two UFOs flying over Great Falls. The film was extensively analyzed by the US Air Force and several independent investigators.,The Mariana UFO Incident Great Falls Tribune,2,47.5048851,-111.2918907
23,1951-08-25,Lubbock Lights,"Lubbock, Texas",United States,Several Lights in V-Shaped formations were repeatedly spotted flying over the city. Witnesses included professors from  Texas Tech University  and photographed by a Texas Tech student.,Some Lubbock Residents Spot A UFO Traveling Across Texas KCBD News Channel,2,33.5778631,-101.8551664
24,1951-09-10,Fort Monmouth UFO Case,"Monmouth County, New Jersey",United States,"At  Fort Monmouth  Base, a radar operator picked up an unknown target. Seventeen minutes later, the crew of a  T-33  saw a discus-shaped unidentified object.","B. J. Booth. ""1951, The Fort Monmouth UFO Case"". Retrieved 2014-10-08. ",2,40.2932319,-74.1671113
25,1952-07-12 to 1952-07-29,"1952 Washington, D.C. UFO incident","Washington, D.C.",United States,"A series of sightings in July 1952 accompanied  radar  contacts at three separate airports in the Washington area. The sightings made front page headlines around the nation, and ultimately lead to the formation of the  Robertson Panel  by the  CIA .","Something in the air: 50 years ago, UFOs streaked over D.C. The Seattle Times",1,0.0,0.0
26,1952-07-14,Nash-Forteberry UFO Case,"Norfolk, Virginia",United States,"W. Nash and W. Forteberry, pilots of a  DC-4  airliner of  Pan American Airways , sighted eight large, round, glowing red objects.",Nash/Fortenberry Case,1,36.8889933,-76.2481623
27,1952-07-16,"1952 Salem, Massachusetts UFO incident",Coast Guard Air Station Salem,United States,"Coast Guard photographer Shell Alpert took a photograph of four roughly elliptical blobs of light in formation through the window of his photographic laboratory. A Coast Guard press release described the lights as ""objects"", however Seaman Alpert subsequently issued a statement saying, ""I cannot in all honesty say that I saw objects or aircraft, merely some manner of lights.""","Noah, Timothy. ""How To Tell the New York Times from the Weekly World News"". S",1,0.0,0.0
28,1952-07-24,Carson Sink UFO incident,"near  Carson Sink ,  Nevada",United States,Two pilots saw three unusual  Delta wing  aircraft flying in a V-formation over Carson Sink.,The Report on Unidentified Flying Objects Edward J. Ruppelt,1,0.0,0.0
29,1952-07-29,Miami UFO movie,"Miami, Florida",United States,"Ralph Mayher, stationer in Miami as a member of Marine Corps, took a movie film of a reddish UFO. The main portion of the film was submitted to USAF for analysis.",Mayher 16 mm movie film,2,25.7742658,-80.1936588
30,1952-07-30,Oldenburg UFO Encounter,"near  Oldenburg ,  Lower Saxony",West Germany,"Roland Hughes, a  RAF  pilot, reported that he have sighted a ""silver metallic disc"" while he was returning to Oldenburg base after a training mission over West Germany.","UFO sighting by RAF pilot in 1952
The UFO sighting that convinced a Governmen",1,0.0,0.0
31,1952-09-12,The Flatwoods Monster,"Flatwoods, West Virginia",United States,"Six local boys and a woman report seeing a UFO land, and saw a spade-headed creature near the landing site.","""The Legend of the Flatwoods Monster"". Wvculture.org. 2002-09-12. Retrieved 2",3,38.7231759,-80.6498016
32,1952-12-06,Gulf of Mexico UFO Encounter,"Gulf of Mexico , 100 mi. south of  Louisiana  coast",United States,The crew (three men) of a  B-29  bomber tracked on the radar 5 high speed objects. After ten minutes the objects merged into a larger object which appeared on radar as a huge blip and moved off.,B-29 Encounters High-Speed Targets over Gulf,1,0.0,0.0
33,1953-05-21,Prescott Sightings,"Prescott, Arizona",United States,"Three Prescott residents sight a total of eight craft at Del Rio Springs Creek, 20 miles north of Prescott.","""Prescott Evening Courier, Vol. 71 #98-May 22, 1953"". News.google.com. 1953-0",0,34.5402813,-112.4695072
34,1953-08-12,Ellsworth UFO sighting,"Bismarck, North Dakota",United States,A UFO appearing as a red glowing light is witnessed by 45 people. The sighting takes place for two nights.,The Report on Unidentified Flying Objects Edward J. Ruppelt,1,46.8083268,-100.7837391
35,1953-11-23,The disappearance of Felix Moncla and Robert Wilson,near the  Soo Locks  over  Lake Superior,United States/ Canada,U.S. Air Force pilot and radar operator and their  F-89C  disappeared while pursuing an unidentified radar return.,Airmen's disappearance remains a mystery Wisconsin State Journal:,0,0.0,0.0
36,1953-12-16,Kelly Johnson /Santa Barbara Channel Case,"Seen from  Agoura, California , and from aircraft flying over  Pacific Ocean",United States,"Legendary  Lockheed  aircraft engineer  Clarence ""Kelly"" Johnson , designer of the  F-104 ,  U-2 , and  SR-71 , and his wife observed a huge Flying Wing over the Pacific from the ground in Agoura. Meanwhile, one of Johnson's flight test crews aboard an WV-2 (see  EC-121 ) spotted the craft from  Long Beach, California .  USAF  concluded these trained observers had seen a  lenticular cloud , even though Johnson considered and ruled out that explanation.","""Kelly Johnson's UFO Encounter - Unexplained Mysteries - Videos"". Unexplained",1,0.0,0.0
37,1954-08-16,Tananarive UFO incident,Tananarive,Madagascar,"At 5:00 p.m. a green ball was seen in the sky and disappeared behind a hill. It reappeared a minute later and flew over the higher part of Tananarive. When the object flew in front of them, some witnesses could see a lentil-shaped device with silvery metallic aspect enveloped in electric luminous gas.","""1954 - Tananarive, Madagascar - Multiple Witnesses to UFOs - UFO Casebook Fi",1,-18.9100121,47.5255809
38,1954-09-15,Manbhum UFO sighting,"Manbhum ,  Bihar",India,A UFO was seen in the afternoon by about 800 people living in three villages in Manbhum district of Bihar. According some witnesses the UFO was shaped like a saucer about 12 feet in diameter and grey in colour.,"""15 top UFO sightings in India – Uncle from Mars did visit us"". MumbaiGloss",1,0.0,0.0
39,1954-09-12 to 1954-11-30,Autumn 1954 European UFO wave,South and west of  Europe,"France ,  Italy  and other countries","In the autumn of 1954 there was a great wave of UFO sightings in the countries of the south and the west of Europe. Most of the sightings occurred in France, followed by Italy. This wave was the first large-scale European UFO wave.",Worldwide UFO wave of 1954,"1,2 and 3",0.0,0.0
40,1955-08-21 to 1955-08-22,Kelly–Hopkinsville encounter,"A farmhouse near  Hopkinsville, Kentucky",United States,"After the sighting of a disc-shaped aircraft a group of strange, goblin-like creatures are reported to have repeatedly approached a farm house and looked inside through the windows. Members of the two families present shot at them several times with little or no effect. The encounter lasted from evening to dawn.","Siege of ‘Little Green Men’ - The 1955 Kelly, Kentucky, Incident Skeptica",3,0.0,0.0
41,1956-07-24,Drakensberg Contactee,Drakensberg,South Africa,"A well-known photo series depicting a supposed UFO, was taken on 24 July near Rosetta in the  Drakensberg  region. The photographer, meteorologist Elizabeth Klarer, claimed detailed adventures with an alien race, besides having had an alien lover, Akon, who would have fathered her son Ayling.","Hind, Cynthia (March 1992). ""Woman takes photo of flying saucer"". UFO Afrinew","1, 5, 7?",-28.6129162,29.1268636
42,1956-08-13,Lakenheath-Bentwaters incident,Eastern England,United Kingdom,Some UFOs were picked up by radar over the airbases of Lakenheat and Bentwaters. At Lakenheath some luminous object were sighted by ground personnel.,Lakenheat 1956:A UK visual-radar UFO classic,1,51.0644123,-0.3344349
43,1957-05-03,Edwards Air Force Base flying saucer filming,"Edwards Air Force Base  (about 22 mi northeast of  Lancaster, California )",United States,"Jack Gettys and James Bittick, who were filming base installations on behalf of test pilot and later astronaut  Gordon Cooper , observed the landing and departure of a silent flying disk. Their film evidence was sent to Washington, D.C.","Astronaut Gordon Cooper Witnesses UFO Landing at Edwards AFB John Cooke, UFO ",2?,0.0,0.0
44,1957-05-20,Milton Torres 1957 UFO Encounter,East Anglia,United Kingdom,"U.S. Air Force fighter pilot Milton Torres reports that he was ordered to intercept and fire on a UFO displaying ""very unusual flight patterns"" over  East Anglia . Ground radar operators had tracked the object for some time before Torres' plane was scrambled to intercept.","Rebecca Camber (25 October 2008). ""U.S. fighter pilot: 'I was ordered to fire",2,52.2345714,-0.4626500837
45,1957-07-17,The RB-47 UFO Encounter,"Forbes Air Force Base, Topeka, Kansas",United States,"Often listed as a ""top ten"" ufo case, a U.S. Air Force RB-47, equipped with the most advanced monitoring equipment of the era, was tracked for 700 miles by a ufo.","['http://www.ufocasebook.com/rb47.html' ""The RB-47 UFO Encounter""] Check |url",2,0.0,0.0
46,1957-09-01 to 1957-09-30,Ubatuba UFO Explosion,Ubatuba,Brazil,"Two fishermen watched a UFO crash and explosion, and retrieved fragments of the object.","Richards, Dillon H.; Stirling, Janet I. (2011). Searching for UFOs: Mystery e",2,-23.4331619,-45.0834149
47,1957-09-04,"Portugal ""mothership"" sighting",Between  Granada  and  Portalegre,Spain  /  Portugal,"The crews of 4 fighter-bombers watched a large luminescent UFO and smaller attendant UFOs during a nighttime flight at 25,000 ft.","Zappler], Reader's digest ; [chief contributing writer, Richard Marshall ; ",0,0.0,0.0
48,1957-10-16 to 1957-10-17,Antonio Vilas Boas Abduction,"Near  São Francisco de Sales ,  Minas Gerais",Brazil,One of the very first abduction claims. Farmer Antonio Vilas Boas claimed to have been abducted and examined by humanoid aliens while working in the fields at night. He also claimed to have had sex with an alien woman aboard the egg-shaped aircraft.,They came from out'a spaceThe Independent[dead link],4,0.0,0.0
49,1957-11-02,Levelland UFO Case,"Levelland, Texas",United States,"Numerous people describe seeing a glowing, egg-shaped object and a cigar-shaped object which caused their vehicle's engines to shut down.",A FRESH LOOK AT FLYING SAUCERS Time magazine,2,33.5873164,-102.3779599
50,1957-12-01 to 1957-12-31,Old-Saybrook UFO incident,Connecticut,United States,Reports of an elliptically-shaped UFO with square ports.,National Investigations Committee on Aerial Phenomena; Richard Hall (1964). T,3,41.6500201,-72.7342162
51,1958-01-16,Trindade UFO Incident,Trindade Island,Brazil,9 Separate sightings and 7 photos of UFO's were reported in the Trinidade Island during the meteorological and geological expeditions in the island.,"""Trindade Island's UFO"". Cohenufo.org. Archived from the original on 2012-10-",2,0.0,0.0
52,1959-02-02 to 1959-02-03,Dyatlov Pass incident,"Kholat Syakhl ,  Sverdlovsk Oblast",Soviet Union,"Mysterious deaths of experienced cross-country skiers in the  Urals  are due to official investigation believed to have been caused by an unknown ""compelling natural force"". Some claim relation to unidentified orange spheres.","Morford, Mark (2008-02-27). ""How creepy to you want it?"". http://www.sfgate.c",2,0.0,0.0
53,1959-06-26 to 1959-06-27,Father William Booth Gill sighting,"Boianai,  Territory of Papua and New Guinea",Australia,"Missionary and many natives saw several UFOs, one of them seeming to be repaired by four human-like occupants; witnesses and aliens waved at each other. The case was investigated by  J. A. Hynek  and accompanied by other sightings.","""1959-The Papua, New Guinea UFOs"". Ufos.about.com. 1959-04-05. Retrieved 2011",3,0.0,0.0
54,1961-04-18,Eagle River Close Encounter,"Eagle River ,  Wisconsin",United States,"Joe Simonton, a farmer, reported that he sighted three dark-skinned aliens in a craft landed in his farm.",Eagle River Close Encounter,3,45.917176,-89.2442989
55,1961-09-19,Betty and Barney Hill abduction,"South of  Lancaster  on  Route 3 ,  New Hampshire",United States,The first widely publicized alien abduction experience. The Hills saw a huge flying disk while driving home in their car at late evening and were abducted and medically examined by small extraterrestrials.,Testament for Believers Time magazine,4,0.0,0.0
56,1962-05-12,La Pampa Province sighting,"La Pampa Province , Route 35, Km 72",Argentine,"At 4,10 three truckmen, Valentino Tomassini, Gauro Tomassini and Humberto Zenobi saw an object on the ground in a field near the road while they were travelling to  Jacinto Aráuz . The object looked like a railroad car and was illuminated. As their truck came close it, the object rose up with a flame coming from the lower part and divided into two parts, which flew off in different directions.","Primary catalogue of type 1 cases in Argentina
The Magonia database from Febr",1,0.0,0.0
57,1964-04-24,Lonnie Zamora incident,"Socorro, New Mexico",United States,Police officer Zamora reports a close encounter.,City plans to make UFO site into tourist attraction El Defensor Chieftain,3,34.0572791,-106.8930517
58,1964-09-05,Cisco Grove Encounter,"Cisco Grove, California",United States,"Hunter Donald Schrum claimed he saw a flying white light in the forest and was pursued by men as well as ""robots"".  Condon Committee  investigators were skeptical of Schrum's story because of its inconsistencies.",Roy Craig (1995). Ufos: An Insider's View of the Official Quest for Evidence.,3,39.3099025,-120.5399296
59,1965-01-01 to 1967-12-31,Charles Hall,"Las Vegas, Nevada",United States,Charles Hall claimed that while working at Nellis Air Force Base in Nevada he had contact with tall white aliens who often traveled to Las Vegas casinos for entertainment with CIA agents.,Louis Theroux (4 September 2008). Call of the Weird: Travels in American Subc,3,36.1662859,-115.1492249
60,1965-03-09,The Incident at Exeter,"Exeter, New Hampshire",United States,"Numerous reports of UFOs in Exeter, New Hampshire.",Norman Muscarello Recalls His UFO Incident at Exeter SeacoastNH,2,42.981477,-70.9478342
61,1965-07-01,The Valensole UFO incident,"Valensole ,  Provence-Alpes-Côte d'Azur",France,Peasant Maurice Massé saw a landed spherical object and was paralyzed by two  grey -like occupants.,,3,43.8379245,5.9839792
62,1965-07-03,UFO sightings in Antarctica,Deception Island,Antarctica,At 7.20 P.M. nine meteorological observers of Chilean Scientific Station watched in the sky a yellow-red object travelling at high speed. After about 20 minutes in Argentine Scientific Base 17 people observed a lens-shaped disc.,"""antarctica"". ",1,-62.9569511,-60.5521719005
63,1965-09-16,1965 Craft Landing,Pretoria – Bronkhorstspruit,South Africa,"Police constables Lockem and de Klerk observed a landed, copper-coloured craft on the Pretoria–Bronkhorstspruit freeway. It was described as being 30 feet (9.1 m) wide and left a 6 feet (1.8 m) wide imprint on the asphalt after a rapid, fiery ascent. The incident was confirmed in a press release by Lt. Colonel J.B. Brits, district commandant for Pretoria North","Hall, Richard (1965-09-17). ""UFOs: A New Look (NICAP 1969)"". Associated Press",2,-25.7714775,28.4481595
64,1965-12-09,Kecksburg UFO incident,"Kecksburg, Pennsylvania",United States,"Mass sighting of a falling brilliant fireball dropping debris and causing sonic booms, followed by a cordoning-off of the probable crash site, alleged intimidation of a reporter by  men in black  and cover-up and the unresolved death of said witness.",NASA to search files on '65 UFO incident MSNBC,2?,40.1847935,-79.4605925
65,1966-01-01 to 1966-12-31,The Mothman Prophecies,"Point Pleasant, West Virginia",United States,A wave of reported sightings of a winged humanoid are connected to other mysterious events including sightings of UFOs.,"Coleman, Loren. Mothman and Other Curious Encounters. Paraview.com Inc. ISBN�",3?,38.8445251,-82.1370888
66,1966-03-01 to 1966-03-31,Michigan Swamp Gas Sightings,"Washtenaw County  &  Livingston County, Michigan",United States,Widely reported wave of sightings attributed to  swamp gas  by J. Allen Hynek.,"""UFO Analysis Puts Sheriff In Dither"". Toledo Blade. Ann Arbor, Mich. Mar 30,",2,0.0,0.0
67,1966-04-06,Westall UFO,"Clayton South, Victoria",Australia,"A sighting reported by hundreds of people. Witnesses of ""The Clayton Incident"" still gather for reunions.","""Academic throws light on 40-year-old UFO mystery"". The Age. Melbourne. 2005-",0,-37.9430923,145.125236
68,1966-04-15,Catalina Island UFO,Catalina Island,United States,Cameraman Leman Hanson shot 10 seconds of 16 mm color footage of a UFO.,"""UFO Hunters — Catalina Island — History.com Videos"". History.com. 1997-0",2,55.547598,-133.2926694
69,1966-04-17,Portage County UFO chase,Ohio,United States,Several police officers pursue what they believe to be a UFO for 30 minutes.,American Chronicle: More UFOs reported over Ohio,1,40.2253569,-82.6881394
70,1967-01-25,Betty Andreasson Abduction,"South Ashburnham, Massachusetts",United States,A woman claims to have been taken aboard UFOs by aliens many times over a number of years.,"Brenda Denzler (1 June 2003). The Lure of the Edge: Scientific Passions, Reli",4,42.6103659,-71.9389654
71,1967-05-20,Falcon Lake incident,"near  Falcon Lake  in  Whiteshell Provincial Park ,  Manitoba",Canada,A man is reported to have been burned by the exhaust of a landed cigar-shaped object.,"Falcon Lake, Manitoba Library and Archives of Canada",3,0.0,0.0
72,1967-08-29,Close encounter of Cussac,"Outside  Cussac ,  Auvergne",France,A young brother and sister claimed to have witnessed a brilliant sphere and four small black occupants while herding cattle outside their village.,French Get a Look at Nation's UFO Files Washington Post,3,0.0,0.0
73,1967-09-07,Snippy the Horse Mutilation,"Near  Alamosa  in the  San Luis Valley ,  Colorado",United States,Widely considered to be the first unusual animal death to be related by its witnesses to UFOs and aliens.,"The mysterious San Luis Valley, part I Cyberwest Magazine",2,0.0,0.0
74,1967-10-04,Shag Harbour UFO incident,"Gulf of Maine  near  Shag Harbour, Nova Scotia",Canada,"A large lit object was reported to have crashed into waters near Shag Harbour. A Canadian naval search followed, and officially referred to the object as a UFO. Some military persons involved claim the unknown object to be an alien spacecraft. There were other UFO sightings in the area at the time.","Shag Harbour, Nova Scotia Library and Archives of Canada
Canadian Department ",2?,0.0,0.0
75,1968-02-18,Vashon Island incident,"Vashon Island ,  Washington State",United States,"Three men reported seeing a shiny saucer shaped craft, which froze a pond over which it had hovered.","Paul R. Hill (1995), Unconventional Flying Objects: A Scientific Analysis, Ha",2,47.42087595,-122.473705155
76,1968-08-07,Buff Ledge Camp Abduction,"North of  Burlington  at  Lake Champlain ,  Vermont",United States,Two teenage employees of a summer camp reported sighting UFOs over the lake and claimed to have experienced  missing time .,"Webb, Walter N. Encounter at Buff Ledge: A UFO Case History. J Allen Hynek Ce",4,0.0,0.0
77,1968-11-28,The Sverdlovsk Midget,Sverdlovsk (today  Yekaterinburg ),Soviet Union,Near Sverdlovsk discovered a falling object in the Roshevski forest. [ clarification needed ]  Some claimed that about the UFO and a Soviet Alien-autopsy survived some film reel. [ clarification needed ]  About the incident made a documentary film with  Roger Moore . [ clarification needed ],"Ffolkes-3 (13 September 1998). ""The Secret KGB UFO Files (TV Movie 1998)"". IM",1,0.0,0.0
78,1969-01-06,Jimmy Carter UFO incident,"Leary, Georgia",United States,"Later U.S. president  Jimmy Carter 's sighting of a UAP, which he didn't believe to be of extraterrestrial origin and is, contrary to him, thought to be  Venus .",Carter files report on UFO sighting History.com,1,31.4857679,-84.5136767
79,1970-01-01,Cowichan District Hospital UFO,"Duncan, British Columbia",Canada,"Nurse Doreen Kendall claims she looked out a hospital window and saw a UFO containing occupants seated at a control panel. Another nurse called over by Kendall saw only a bright, featureless light.",Tony Jinks (19 October 2011). An Introduction to the Psychology of Paranormal,3,48.7786869,-123.7080393
80,1971-11-02,Delphos UFO Incident,"Delphos, Kansas",United States,"Ronald Johnson, a 16-years-old living in the family farm, claimed he saw a bright object hovering above the ground at 7.00 p.m. He called his parents, but when they arrived the object vanished into the sky. The Johnsons saw a glowing ring on the ground in the place where the object was howered.","Richerd H. Hall, The UFO Evidence, Vol. II, The Scarecrow Press Inc.,2000",2,39.273889,-97.7719829
81,1972-06-27,1972 UFO sightings in the eastern Cape,Fort Beaufort,South Africa,"A craft was observed near  Fort Beaufort  in the  eastern Cape , which attracted the attention of the military.","Breytenbach, Willem (1997-06-27). ""Fort Beaufort se VVV"". Beeld newspaper. p.",,-32.7766074,26.6333138
82,1972-11-12,1972 UFO sightings in the eastern Cape,Rosmead,South Africa,A school headmaster seems to have arrived at a still smouldering UFO landing site in the town of  Rosmead,"a b Hind, Cynthia (1982). UFO's - African Encounters. Gemini. ISBN 0-7974-05",,-31.4891669,25.119444
83,1973-05-01 to 1973-05-31,The Judy Doraty Abduction,"at a road from  Alta Loma  to  Texas City, Texas",United States,"While under hypnosis, Judy Doraty claimed to have been abducted by aliens and to have witnessed a  cattle mutilation .","""COULD E.T. THE EXTRATERRESTRIAL BE A.M. THE ANIMAL MUTILATOR?"". Deseret News",4,0.0,0.0
84,1973-09-20,Skylab 3 UFO Encounter,space station  Skylab 3  in Earth orbit,outer space,Blurred photographs of an unknown object were taken by astronauts.,"James Oberg ""The Skylab 3 Mission ""UFO Photographs"" of 1973"" from 2011-12-21 ",,0.0,0.0
85,1973-10-01 to 1973-10-31,Jeff Greenhaw,Alabama,United States,Alabama policeman Jeff Greenhaw claims he encountered a creature dressed in a shiny metal costume while investigating a UFO report.,Gregory L. Reece (15 August 2007). UFO Religion: Inside Flying Saucer Cults a,3,33.2588817,-86.8295336
86,1973-10-11,Pascagoula Abduction,"Near  Pascagoula  at the  Pascagoula River ,  Mississippi",United States,Two men fishing on the river claimed to be abducted by strange-looking humanoids.,a b Conspiracy Theories in American History - Peter Knight,4,0.0,0.0
87,1973-10-17,Eglin Air Force Base  Sighting,Florida,United States,"An unidentified object was tracked by a  Duke Field  radar unit during the same time period, and within the same area, that 10 to 15 people observed four strange objects flying in formation between  Milton, Florida , and  Crestview, Florida , along  Interstate 10 , according to Eglin officials. Reports from the base indicated that a bright glowing ball of light could be seen travelling parallel with an Air Force  C-130  aircraft but at a much higher altitude.","Fort Walton Beach, Florida, ""Eglin Radar Installation Tracks UFO Over I-10"", ",2,27.7567667,-81.4639834
